user_id,following,followers
893898343180533760,942,75
1396652556735111175,138,101
1429880739236036608,1069,1144
991344140897075200,576,446
1353637028785770497,612,385
1611939283451154432,68,10
112443324,3628,7091
989605556817195009,162,95
130344472,5710,7951
1891664893,3323,4456
719110532,493,35
2573331637,754,60
1444319805905932290,231,126
2534422526,424,108
1239335409219522560,4996,2656
1476513861356294144,220,29
2288833999,70,201
1384847115466153989,463,178
1486732877383364613,2262,40
1476765568518737949,706,99
1480442846536617984,395,882
1610715471334064146,41,2
1049047974440046592,2543,216
1151227292326203392,591,59
1276651360247787520,1673,1162
1514314200943898644,1,25
3075901292,57,25
16861183,2962,144
1596917112571936768,79,73
119986625,3922,3280
407770579,843,1206
21134368,4728,3253
1336506076683005952,139,14
1137739742462849024,1180,1670
88116879,1622,2356
1930555964,210,226
921462156758880256,521,259
849142642311020544,52,45
900741,2085,59010
2932013234,915,1869
2827205472,539,339
20871653,640,1017
1237460496846139393,170,785
1144791953596395521,302,197
1604170890161389568,6,0
1153069692119990273,184,29
1079579727570952197,274,743
1277720581195120645,421,61
1941798829,1755,594
45756347,4991,870
1470239780743090179,5,6
1393407223,1007,634
2390159292,855,1632
1227374111019528192,239,56
1326118092540432385,202,104
3373820470,46,165
1612712767835832321,1,0
243665363,5000,4080
1950231258,173,196
1275878700752478209,53,76
874394695,446,4109
26573408,5001,1125
704643277392375809,4232,5109
988858824890044416,3499,3153
1505578579417255936,19,18
2220186288,4999,2153
1191969099624128512,1,1645
871928262141894657,122,145
1336491748114239496,42,6
1371551211351121920,2,3418
1412985869435351047,387,29
1608305713859727360,123,3
1416789796555472901,310,142
61108815,4944,3582
2651017782,3282,2213
1134363091095785478,1060,560
1612360232033714176,96,16
1306303915051241473,2980,251
23935538,5001,3891
1605175636766691328,154,9
1403472628640329731,1720,951
2839095514,616,666
1531076108648599554,969,445
917510713131888642,8950,74234
24290265,31147,114861
792948625487691776,461,296
324097316,593,1940
1415553024450129921,54,250
1577882062727413760,2,149
98174194,1227,763
1587533726434615301,893,762
2271073408,3142,1339
736502927976759296,2032,404
859890485774516224,110,19
1551060443040325632,0,504
1017816919980769280,2348,4932
411419084,428,5456
1528117794734219265,146,8
769084714036625409,2229,5946
